Region,School,Snumber,BEL12,MAT12,informatics12,IT12,Code,ClassName,TypeClass,Profil,FormulaRaw,CodeProfession,StudyForm,FirstLang,SecondLang,Formula_modified,YourScore,MinLY,MaxLY
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1286,Организация на обслужването в хотелиерството - АЕ,професионална,Организация на обслужването в хотелиерството,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110201,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,223,307
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1287,Екскурзоводско обслужване - АЕ,професионална,Екскурзоводско обслужване,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8120302,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,252,352
ОВЧА КУПЕЛ,"66 Средно училище ""Филип Станиславов""",2217066,3.49,0,0,0,3935,Бизнес администрация - АЕ интензивно,професионална,Бизнес - администрация,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),3460101,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * IT + 1 * English),327,65,289
ОВЧА КУПЕЛ,"88. Средно училище ""Димитър Попниколов""",2217088,4.01,0,0,0,1353,Чужди езици - АЕ интензивно,профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,211.5,315
ОВЧА КУПЕЛ,"88. Средно училище ""Димитър Попниколов""",2217088,4.01,0,0,0,1356,Туристическа анимация - АЕ интензивно,професионална,Туристическа анимация,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),8120402,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,162.5,318.5
ОВЧА КУПЕЛ,"149 Средно училище ,,Иван Хаджийски""",2217149,3.4,0,0,0,1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,Софтуерни и хардуерни науки,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),80111,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * IT + 1 * English),327,255.5,363.75
ОВЧА КУПЕЛ,"149 Средно училище ,,Иван Хаджийски""",2217149,3.4,0,0,0,4456,"Електронна търговия - АЕ интензивно, НЕ",професионална,Електронна търговия,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),4820401,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * IT),307,111,276
ОВЧА КУПЕЛ,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2217151,3.72,0,0,0,4623,Изобразително изкуство - АЕ,профилирана,Изобразително изкуство,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ЧЕз),80141,дневна,Английски език,разширено,(1 * BELNVO + 1 * MATNVO + 2 * Art) + (1 * Art + 1 * English),298,298,372.5
ОВЧА КУПЕЛ,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2217151,3.72,0,0,0,5108,Природни науки - АЕ,профилирана,Природни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),80131,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,,
ОВЧА КУПЕЛ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2217424,3.93,0,0,0,2115,Компютърни мрежи - АЕ,професионална,Компютърни мрежи,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),5230502,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,73,310
ОВЧА КУПЕЛ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2217424,3.93,0,0,0,2123,Компютърна техника и технологии - АЕ,професионална,Компютърна техника и технологии,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),5230501,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,92,266
ОВЧА КУПЕЛ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2217424,3.93,0,0,0,2133,Системно програмиране - АЕ,професионална,Системно програмиране,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),4810201,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,126,349
ОВЧА КУПЕЛ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2217424,3.93,0,0,0,3864,Програмиране на изкуствен интелект - АЕ,професионална,Програмиране на изкуствен интелект,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),4810401,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,167,386.5
ОВЧА КУПЕЛ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2217424,3.93,0,0,0,4333,Програмиране на роботи - АЕ,професионална,Програмиране на роботи,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),4810501,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,101,314
ОВЧА КУПЕЛ,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2217426,2.36,0,0,0,2901,Трайни насаждения,професионална,Трайни насаждения,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),6210103,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,83,135
ОВЧА КУПЕЛ,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2217426,2.36,0,0,0,2903,Цветарство,професионална,Цветарство,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),6220101,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,58,102
ОВЧА КУПЕЛ,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2217426,2.36,0,0,0,4727,Ветеринарен лаборант - разширено изучаване на АЕ,професионална,Ветеринарен лаборант,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),6400201,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,41,178
